Problem Date,Problem Details,Language,Title,URL
6/9/2026,Moment s’inscrire,fr,S’inscrire à un compte sécurisé d’IRCC - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/inscription.html
6/9/2026,I need help for link my eTA to my account,en,Immigration and citizenship - Canada.ca,https://www.canada.ca/en/services/immigration-citizenship.html
6/9/2026,How to apply for a study permit by starting by university admission,en,Study permit: How to apply - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/apply.html
6/9/2026,VISITOR RECORD STATUS,en,Immigration and citizenship - Canada.ca,https://www.canada.ca/en/services/immigration-citizenship.html
6/9/2026,looking for visitor record status,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,What about cook,en,Express Entry: Category-based selection - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/rounds-invitations/category-based-selection.html
6/9/2026,"Je veux remplir le formulaire représentant, à mon petit frère, qui veut venir me visiter ,le visa visiteur aux Canada 🇨🇦 ( montréal)",fr,Visiter le Canada - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/visiter-canada.html
6/9/2026,J'ai depose ma demande au mois de Mai et j'ai recu l'accuse de reception le 9 Juin 2025.,fr,Comment vérifier l’état de votre demande à IRCC - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/verifier-etat.html
6/9/2026,I was in the process of application payment and run out of time. I need to do the payment. Please assist.,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,I want to now the status of my application,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,Comment connaître la date d’échéance de mon ave en cours ?,fr,Autorisation de voyage électronique (AVE) : Comment présenter une demande - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/visiter-canada/ave/demande.html
6/9/2026,A propos de ma demande de permis de travail,fr,Comment vérifier l’état de votre demande à IRCC - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/verifier-etat.html
6/9/2026,续订或更换PR卡,fr,Vivre au Canada de façon permanente - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada.html
6/9/2026,أريد التقديم ب الهجره الدائمه إلى كندا؟,en,الهجرة عبر نظام الدخول السريع - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry.html
6/9/2026,I didn't receive reply email. I work in Samsung Electronnics,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,"This file does not open in Adobe Reader available for download June 8, 2026.",en,Application for a Search of Citizenship Records (CIT 0058) - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/cit0058.html
6/9/2026,can l sponsor my brother to canada,en,Ebola disease: Temporary measures - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/special-measures/ebola-2026.html
6/9/2026,I am trying to login and find my copr,en,Sign in to your IRCC account - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/ircc-accounts.html
6/9/2026,Je n’ai pas reçu le message de confirmation concernant les données biométriques (empreintes digitales) que j’ai fournies pour mon programme de visa pour le Canada.,fr,Connectez-vous à votre compte IRCC - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/comptes-ircc.html
6/9/2026,where to attach letter of explanation,en,Your IRCC application: Supporting documents - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/common-supporting-documents.html
6/9/2026,The form for new adult to print off.,en,Apply for a new adult passport in Canada - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/new-adult-passport.html
6/9/2026,c-3,en,Canadian citizenship for adults and minor children: How to apply - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship/adult-minor/how.html
6/9/2026,"ENTRO A CANADA POR TIERRA, QUE DOCUMENTACION NECESITO",fr,Visiter le Canada - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/visiter-canada.html
6/9/2026,"I am currently waiting for my Canadian citizenship application to be finalized. I have not yet been scheduled for my citizenship oath ceremony, but I need to leave Canada for approximately one month.",en,Find IRCC application forms and instructions - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides.html
6/9/2026,I already have a work permit and want to know if i am eligible for Income Support because i am struggling to become employed.,en,"Open work permits: eligibility, restrictions, and application  - Canada.ca",https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/open-work-permit.html
6/9/2026,Permanent residen,en,Sign in to your IRCC account - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/ircc-accounts.html
6/9/2026,Permanent residency,en,Sign in to your IRCC account - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/ircc-accounts.html
6/9/2026,"It won't let me access the documents, I put my username and password and it doesn't open the documents I have to download",en,Find IRCC application forms and instructions - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides.html
6/9/2026,Je veux savoir comment faire pour obtenir le visa canadien,fr,Vivre au Canada de façon permanente - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada.html
6/9/2026,How to send a name correction in my summited aplication,en,Immigration and citizenship - Canada.ca,https://www.canada.ca/en/services/immigration-citizenship.html
6/9/2026,Les delais,fr,"Parrainer votre époux, votre conjoint, votre partenaire ou votre enfant : Facultatif : Permis de travail ouvert au Canada - Canada.ca",https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/parrainer-membre-famille/epoux-partenaire-enfant/epoux-conjoint-fait-canada-permis-travail-ouvert.html
6/9/2026,le document télécharge dit please wait et ne presente pas le document comme il devrait etre,fr,Annexe 1 : Demande de statut de résident temporaire (IMM 5257 SCH1) - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/formulaires-demande-guides/imm5257-sch1.html
6/9/2026,Education,en,Express Entry: Check your score - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/check-score.html
6/9/2026,zz,fr,Modification des frais de passeport et de documents de voyage - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/frais/modification-frais-passeport.html
6/9/2026,zzs,fr,Modification des frais de passeport et de documents de voyage - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/frais/modification-frais-passeport.html
6/9/2026,Qu'en est-il lorsqu'un enfant mineur Canadien né hors Canada entre avec ses 2 parents?,fr,Enfants mineurs voyageant au Canada - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/visiter-canada/enfants-mineurs-voyageant-canada.html
6/9/2026,The application tracker website for permanent residency applications has not been working for multiple months. Please help fix it or provide an alternative way to check application progress. Thank you!,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,IMM5445,en,"Get a permanent resident card:  Get, renew or replace a permanent resident card - Canada.ca",https://www.canada.ca/en/immigration-refugees-citizenship/services/permanent-residents/card/apply.html
6/9/2026,appoinment for renew passport,en,Get the form and renew a passport in person in Canada - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/renew-adult-passport/submit-form-fees/apply-in-person.html
6/9/2026,I want to book appointment for biometrics,en,Find out if you need to give biometrics - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/biometrics/need-biometrics.html
6/9/2026,Biometrics,en,Immigration and citizenship - Canada.ca,https://www.canada.ca/en/services/immigration-citizenship.html
6/9/2026,Looking for IM5445 can't find it,en,Document Checklist: Application for a Permanent Resident Card or Permanent Resident Travel Document (IMM 5644)  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/imm5644.html
6/9/2026,I want to check my visitor visa application,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,"Where Canadian Citizen living in Mexico mails Passport Renewal Application to what address in Mexico City, Mexico ?",en,Canadian passports: Applying from abroad - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports-abroad.html
6/9/2026,"Bonjour, Je suis de nationalité camerounaise et je réside actuellement en Chine. Je souhaite faire une demande de visa touristique pour le Canada pour un séjour d’un mois. Je suis disponible pour fournir tous les documents nécessaire Merci pour votre attention",fr,Vérifiez si vous avez besoin d’un visa ou d’une AVE pour vous rendre au Canada - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/visiter-canada/verifiez-visa-ave.html
6/9/2026,申請したが確認できない,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,PR Card renewal,en,Sign in to your IRCC account - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/ircc-accounts.html
6/9/2026,I am looking for extend my work permit,en,Refugee protection in Canada - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/protection.html
6/9/2026,Application tracker is not working,en,Check current IRCC processing times - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-processing-times.html
6/9/2026,Renouveller un permis de travail expiré,fr,Protection des réfugiés au Canada - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/refugies/protection.html
6/9/2026,It is give me the same waiting time for three months,en,Check current IRCC processing times - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-processing-times.html
6/9/2026,Comment recevoir une lettre d’instruction pour faire les empreintes biométriques,fr,Découvrez si vous devez fournir vos données biométriques - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/biometrie/besoin-biometrie.html
6/9/2026,fees not shown,en,How to renew a passport in Canada - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/renew-adult-passport.html
6/9/2026,Hi I want apply for Canada university I love Canada and I want to live in Canada and study,en,Study permit: After you apply - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/after-apply-next-steps.html
6/9/2026,I been interviewed on 2024 still no response,en,Refugees and asylum - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees.html
6/9/2026,What is the fees for a family of 3 biometrics and what is the cost for the visiting Visa fees?,en,Find out if you need to give biometrics - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/biometrics/need-biometrics.html
6/9/2026,Comment faire pour obtenir ton passeport déjà soumette depuis 3 semaines aucun nouveau après pour le retour,fr,Votre demande à IRCC - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande.html
6/9/2026,"My application was submitted in Novemeber 2025, the officer returned it twice without an OKR and a request for a birthday certificate for my son when it was already provided - I have no way to contact Immigration by phone to pin point what exactly it is that the birth certificate has nit to be acce",en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,get a personal reference code,en,Find out if you need a work permit - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/need-permit.html
6/9/2026,where can I check if I already have eTA ???,en,Electronic travel authorization (eTA): How to apply - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/apply.html
6/9/2026,How to report for lost passport,en,"Lost, stolen, inaccessible, damaged or found passports and other travel documents - Canada.ca",https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/lost-stolen-inaccessible-damaged-found.html
6/9/2026,I'M LOOKING FOR FAMILY MEMBER REPRESENTATIVE FORM IMM5713,en,Find IRCC application forms and instructions - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides.html
6/9/2026,JE RECHERCHE COMMENT PRESENTER UNE OFFRE D'EMPLOI,fr,Embaucher dans le cadre du Programmes pilotes d’immigration dans les communautés rurales et francophones :  Embaucher un candidat - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/pilotes-rurale-franco/embaucher/candidat.html
6/9/2026,Je veux calculer mes points sur tous les aspects,en,Express Entry: Check your score - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/check-score.html
6/9/2026,I would like to know how I can check the status of my application. I don't have a username because someone else is requesting it for me I only have a UCI number.,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,Necesito información sobre trabajo en canada soy maestro de educación primaria bilingue,en,Regístrese para obtener una cuenta segura de IRCC - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/register.html
6/9/2026,"No he recibido carta de confirmación y ya tengo más de 1 año y medio de estar esperando, por lo tanto no puede verificar como va el proceso de mi solicitud",fr,Cómo consultar el estado de su solicitud en IRCC - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/verifier-etat.html
6/9/2026,Ouldamer Youcef Bey algérien de 35 ans j'ai 5 enfants aide moi a vivre au Canada avec mes enfants Je travaille conducteur depuis 2018,fr,Connectez-vous à votre compte IRCC - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/comptes-ircc.html
6/9/2026,Name Change on citizenship card,en,Sign in to your IRCC account - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/ircc-accounts.html
6/9/2026,"I am ################, I want to know the status of my PR application",en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,Geneology Lekovic,en,Immigration and citizenship - Canada.ca,https://www.canada.ca/en/services/immigration-citizenship.html
6/9/2026,The farme,en,Extend or change the conditions on your work permit: Traveling outside Canada and re-entering - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/extend/travel-outside-canada.html
6/9/2026,The estimated left time is not correct since i have no work pertmit and outside Canada. Please add more row to enter my status such as: if i have valud work pert or not?,en,Check current IRCC processing times - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-processing-times.html
6/9/2026,the signature box is not allowed to sign,en,Schedule 14: Protected Persons and Convention Refugees (IMM 0008 SCH14) - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/imm0008-sch14.html
6/9/2026,I want the gorm,en,How to renew a passport in Canada - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/renew-adult-passport.html
6/9/2026,I am dye mecar mechanic want work in Canada. How can apply skilled immigration work visa,en,Find out if you need a work permit - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/need-permit-2.html
6/9/2026,Immigration from,en,Sign in to your IRCC secure account - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/account.html
6/9/2026,"Hola buena noche , manda una solicitud de eta para mi hija abril munoz celis , ella cuenta *** una visa de turista válida",en,Inicia sesión en tu cuenta segura de IRCC - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/account.html
6/9/2026,can’t find messages,en,Renew your passport online - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/renew-adult-passport/online-account.html
6/9/2026,I needed the Acknowledgement/ consent to provide travel document services for a child under 16 years of age. it is the form PPTC 028,en,Find a passport or travel document form - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/forms.html
6/9/2026,please Banisser moi a Vie de tout programme de travailleur etranger pas juste 1 ans signer ################,fr,Connectez-vous à votre compte IRCC - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/comptes-ircc.html
6/9/2026,how many photos to submit with the application,en,Application for Canadian Citizenship – Minors (CIT 0003) - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/cit0003.html
6/9/2026,Latest Crs cut off,en,Express Entry: Rounds of invitations - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/rounds-invitations.html
6/9/2026,i want to work in canada on a working holiday visa,en,Work and travel abroad with International Experience Canada - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadians/international-experience-canada.html
6/9/2026,Faire une demande ave,fr,Autorisation de voyage électronique (AVE) : Comment présenter une demande - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/visiter-canada/ave/demande.html
6/9/2026,Délai de traitement pour la citoyenneté,fr,Cérémonie de citoyenneté - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/citoyennete-canadienne/devenir-citoyen-canadien/ceremonie-citoyennete.html
6/9/2026,How to book appointment in passport office,en,"Get urgent, express or emergency weekend passport services - Canada.ca",https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/urgent-emergency-passport.html
6/9/2026,"I need an official proof or link from the Government of Canada/IRCC website stating that if a person was eligible for a 3-year work permit but received only a 2-year work permit because of the limited validity of their passport, After renewing the passport, the person becomes eligible to apply for a",en,Post-graduation work permit: About the post-graduation work permit (PGWP) - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/about.html
6/9/2026,reconsideration,en,Find IRCC application forms and instructions - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides.html
6/9/2026,Need spouse open work permit official website,en,Find out if you need a work permit - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/need-permit.html
6/9/2026,IRCC tracker is not working,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,Bonjour besoin d'aide pour remplir le formulaire vis ETUDIANT INTERNATIONNAL,fr,Trouver des formulaires de demande d’IRCC et des instructions - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/formulaires-demande-guides.html
6/9/2026,Proof of birth,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,Offre d'emploi étranger,fr,Immigration et citoyenneté - Canada.ca,https://www.canada.ca/fr/services/immigration-citoyennete.html
6/9/2026,"""we are currently updating this web site"" or ""we are experiencing technical difficultis""",en,Sign in to your IRCC secure account - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/account.html
6/9/2026,Suivi de la demande,en,"Immigration, Refugees and Citizenship Canada - Canada.ca",https://www.canada.ca/en/immigration-refugees-citizenship.html
6/9/2026,Je suis résident permanent le 97 juin 2023 date de mon entrée au Canada je voudrais demander la citoyenneté Canadienne je ne comprends pas ce que vous voulez dire par fournir les documents sur les compétences linguistiques. ## quoi s’agit t’il ?,fr,Citoyenneté canadienne pour adultes :  Formulaires et documents pour présenter une demande sur papier - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/citoyennete-canadienne/adulte-mineur/comment/adulte-formulaires-documents.html
6/9/2026,Créer un compte Clé GC,fr,Immigration et citoyenneté - Canada.ca,https://www.canada.ca/fr/services/immigration-citoyennete.html
6/9/2026,comment faire une requête par rapport a un refus de visa,fr,"Immigration, Réfugiés et Citoyenneté Canada - Canada.ca",https://www.canada.ca/fr/immigration-refugies-citoyennete.html
6/9/2026,eta,en,Promemoria importanti: richiedi un'eTA su Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/important-reminders-apply-eta.html
6/9/2026,"instructions on whom, how and why to fill it?",en,Schedule 1: Application for Temporary Residence  (IMM 5257 SCH1) - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/imm5257-sch1.html
6/9/2026,Je n'est pas encore de compte IRCC je veux en créer maintenant,fr,Connectez-vous à votre compte IRCC - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/comptes-ircc.html
6/9/2026,عاوز اهاجر الى كندا,en,Immigrate through Express Entry - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry.html
6/9/2026,what about appointment for submission no where this is clarified,en,Apply for a new passport abroad - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports-abroad/new-adult-passport-abroad.html
6/9/2026,Hello ircc my is ##### jassie Nakkone I want to know how far is my process of the permanent residence I applied in December 2023,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,je souhaite un duplicata de mon AVE,fr,Comment vérifier l’état de votre demande à IRCC - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/verifier-etat.html
6/9/2026,ETA approval,en,Sign in to your IRCC secure account - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/account.html
6/9/2026,How to apply visitor visa application for canada,en,Apply online using the IRCC Portal – New version - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/online-account.html
6/9/2026,Agriculture manger in work now visa Canada,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,How to track application and collect passport,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,how to create new application,en,Sign in to your IRCC secure account - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/account.html
6/9/2026,Je suis maintenant adulte?,fr,"Passeport ou autres documents de voyage perdus, volés, inaccessibles, endommagés ou trouvés - Canada.ca",https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/perdu-vole-inaccessible-endommage-trouve.html
6/9/2026,lien pour demander AVE,fr,"Rappels essentiels pour demander une AVE : fraude, limites, session - Canada.ca",https://www.canada.ca/fr/immigration-refugies-citoyennete/services/visiter-canada/ave/rappels-importants-presenter-ave.html
6/9/2026,necesito visa para realizar escala en Canadá camino a España por turismo,en,Encuentre formularios de solicitud e instrucciones de IRCC - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides.html
6/9/2026,Comment faire pour s’inscrire,fr,Immigration et citoyenneté - Canada.ca,https://www.canada.ca/fr/services/immigration-citoyennete.html
6/9/2026,J'ai déjà un super visa mais j'ai un nouveau titre de voyage et je souhaiterai un nouveau justificatif sur mon titre de voyage,fr,Super visa pour parents et grands-parents - Durée de séjour permise au Canada - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/visiter-canada/super-visa-parents-grands-parents/duree-sejour-permise.html
6/9/2026,I want to know that can i apply for pgwp with retake in one module of ielts,en,Post-graduation work permit: How to find your language level based on your test results - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/eligibility/language-results.html
6/9/2026,أنا أريد هجرة الي كندا نسبة لظروف الحرب التي تمر البلاد واريد اقامه دائما. اطلب منكم المساعدة من فضلكم لدي اسره مكون من خمسه فرد ثلاثه أطفال واب وام وشكرا,en,سجّل الدخول إلى حسابك على موقع IRCC - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/ircc-accounts.html
6/9/2026,Application for an eTA,en,Transit visa: Who needs a transit visa - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/transit/transit-visa/who-needs-transit-visa.html
6/9/2026,I want to find my last application from 2019-2020 which was refused. I cannot find it in my email. Please guide.,en,Sign in to your IRCC secure account - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/account.html
6/9/2026,Visa lottery,en,Apply online to visit Canada: IRCC Portal - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/portal-application-process.html
6/9/2026,"I sponsored my husband to come to Canada, and once he received his COPR he accidently ripped the papers inside as he's opening the envelope. Can I replace them as we plan to travel soon.",en,Immigration and citizenship - Canada.ca,https://www.canada.ca/en/services/immigration-citizenship.html
6/9/2026,I want to see if my payment has gone through,en,Passport and travel document fee changes - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/fees/fee-changes-passport.html
6/9/2026,Veterinarian Specialize in Farming Production,en,Find out if you need a work permit - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/need-permit-4.html
6/9/2026,I don't see where I can explain my specific case relates to my only son's graduation from UoT and would respectfully ask this be taken into urgent consideration please.,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,i want to aply for an ETA but cant find out where to do that. there are many scam compagnys on the net.,en,Important reminders – apply for an eTA - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/important-reminders-apply-eta.html
